player_name,conf,yr,role,Min_per,pts
Eli Scott,WCC,Sr,Wing F,88.6,17.9545
Myles Cale,BE,Sr,Wing G,76.1,11.5926
Josh Carlton,Amer,Sr,C,23.1,3.5263
Hameir Wright,CUSA,Sr,PF/C,58.8,6.1923
Brandon Slater,BE,Sr,Wing G,41.9,3.76
Nate Laszewski,ACC,Sr,Stretch 4,78.2,13.2692
Leaky Black,ACC,Sr,Wing F,68.9,5.5862
Mohammed Abdulsalam,SC,Sr,C,47.4,6.6
Hunter Tyson,ACC,Sr,Stretch 4,33.1,7.5263
Montez Mathis,BE,Sr,Wing G,52.7,8.1786
Caleb McConnell,B10,Sr,Wing G,40.6,5.7
Eric Hunter Jr.,B10,Sr,Combo G,65.0,8.5
Jermaine Couisnard,SEC,Jr,Combo G,54.6,10.0588
Colin Castleton,SEC,Sr,C,62.1,12.375
Ricky Lindo Jr.,A10,Sr,Wing F,35.6,11.4286
Thomas Kithier,MVC,Sr,C,25.0,2.3846
Christian Bishop,B12,Sr,PF/C,58.0,11.0323
Bryce Golden,BE,Sr,Wing F,63.7,10.375
Greg Williams Jr.,SB,Sr,Combo G,54.3,9.5
Josh LeBlanc Sr.,CUSA,Sr,PF/C,35.9,3.2
Joey Hauser,B10,Sr,PF/C,53.4,9.6786
Jermaine Harris,WAC,Sr,Wing F,28.6,3.3333
Aaron Wheeler,BE,Sr,PF/C,45.3,3.8571
Kyler Edwards,Amer,Sr,Combo G,77.3,10.1379
Josh Mballa,MAC,Sr,Wing F,66.8,15.1818
Vincent Lee,BW,Jr,C,52.9,9.9333
K.J. Hymes,MWC,Jr,PF/C,39.9,6.4231
Daylen Kountz,BSky,Sr,Wing G,77.0,14.1364
Shaun Williams,BW,Jr,Scoring PG,44.5,9.3182
David McCormack,B12,Sr,PF/C,55.9,13.4138
Isaac Likekele,B12,Sr,Wing G,66.4,9.25
Maurice Calloo,P12,Sr,Wing F,40.0,5.7576
Kaden Archie,SB,Sr,Wing G,26.7,7.8462
Isaiah Poor Bear-Chandler,Sum,Sr,PF/C,23.7,3.0
Dre Fuller Jr.,Amer,Jr,Wing G,68.2,6.9565
Connor Vanover,SEC,Jr,PF/C,36.5,6.3448
Andre Kelly,P12,Sr,C,65.9,10.3103
Matt Bradley,MWC,Sr,Wing G,57.4,17.9545
Rashun Williams,BSth,Sr,Wing F,27.1,3.2632
Zion Griffin,Horz,Sr,Wing G,29.4,7.3
George Conditt IV,B12,Sr,C,32.6,2.4167
Moses Wood,WCC,Jr,PF/C,55.4,6.0741
Tavin Lovan,CUSA,Sr,Combo G,66.2,12.2069
Payton Moore,Sum,Sr,Wing G,27.1,5.16
Drew Peterson,P12,Sr,Wing F,70.6,9.8182
Sekou Toure,BW,Sr,Wing F,13.6,2.5882
Xavier Johnson,B10,Sr,Pure PG,58.5,14.1667
Trevion Williams,B10,Sr,C,62.2,15.5357
Chase Audige,B10,Jr,Wing G,70.0,12.2917
Landers Nolley II,Amer,Jr,Wing G,68.4,13.1429
Robert Braswell,CUSA,Jr,Stretch 4,25.9,3.75
Jalen Carey,A10,Jr,Wing G,36.1,4.2609
Bryce Hamilton,MWC,Sr,Wing G,76.3,17.875
Zach Chappell,BSky,Sr,Scoring PG,28.8,7.1538
Miles Norris,BW,Sr,Wing F,64.6,9.7407
Dima Zdor,WAC,Sr,C,6.3,1.7692
Erik Stevenson,SEC,Sr,Combo G,66.3,9.2692
Morris Udeze,Amer,Sr,C,61.0,10.3182
Logan Johnson,WCC,Sr,Wing G,66.6,13.3
Jairus Hamilton,CUSA,Sr,Wing F,51.0,6.4839
Caleb Catto,ASun,Sr,Wing G,79.1,13.3333
Amadou Sow,BW,Sr,C,65.0,13.6154
Marcus Bingham Jr.,B10,Sr,C,28.5,3.5357
Jeremiah Gambrell,SWAC,Jr,Combo G,62.1,10.6316
Trey Woodbury,WAC,Sr,Combo G,81.9,15.5909
Brandon Johns Jr.,B10,Sr,Wing F,32.2,4.9286
Chris Doherty,CAA,Jr,PF/C,26.4,5.25
Jamal Bey,P12,Sr,Wing G,77.7,10.3077
Trey Jemison,CUSA,Sr,C,66.4,7.1379
John Newman III,Amer,Sr,Wing G,35.4,3.7273
Nathan Mensah,MWC,Sr,C,53.6,8.1071
George Maslennikov,MAAC,Sr,Stretch 4,17.9,2.0769
Rasir Bolton,WCC,Sr,Combo G,72.3,15.5238
Ari Boya,MVC,Sr,C,10.9,5.5556
Eli Parquet,P12,Sr,Combo G,67.7,5.2258
Cole Swider,ACC,Sr,Wing F,47.1,5.68
Jake Forrester,Amer,Sr,C,53.4,9.375
Jerome Hunter,BE,Jr,Wing F,43.9,6.28
Rob Phinisee,B10,Sr,Combo G,65.6,7.1481
Tim Finke,Horz,Jr,Wing G,77.2,10.0
Tomas Verbinskis,Pat,Sr,Stretch 4,14.8,1.6923
Luis Rodriguez,SEC,Jr,Wing F,66.0,7.6071
Michael Durr,B10,Sr,PF/C,56.8,8.7895
Race Thompson,B10,Sr,PF/C,68.3,9.1481
Warren Washington,MWC,Jr,C,54.6,9.9615
Jaiden Delaire,P12,Sr,Wing F,60.0,12.5417
Lukas Kisunas,P12,Sr,C,37.2,3.2692
Cormac Ryan,ACC,Sr,Wing G,70.7,9.92
DaQuan Smith,OVC,Jr,Combo G,39.7,4.48
Jarron Coleman,SEC,Jr,Wing G,37.7,13.8462
Jordan Phillips,Horz,Sr,Wing G,45.7,7.2
Ochai Agbaji,B12,Sr,Wing G,84.6,14.2
David Wingett,Sum,Jr,Wing G,39.8,6.1429
Jeenathan Williams,MAC,Sr,Wing G,76.4,17.48
Ronaldo Segu,MAC,Sr,Scoring PG,81.9,13.36
D.J. Burns Jr.,BSth,Jr,C,39.2,10.12
Keyshawn Bryant,SEC,Sr,Wing F,57.9,14.3889
Nate Roberts,P12,Jr,C,54.5,5.1538
KJ Buffen,CUSA,Sr,Wing F,52.6,8.4231
Brendan Adams,A10,Sr,Combo G,34.7,4.5
Demarius Jacobs,MAC,Sr,Wing G,35.0,4.9
Fred Thatch Jr.,A10,Sr,Wing G,40.4,5.35
Javon Freeman-Liberty,BE,Sr,Wing G,58.1,14.3571
A.J. Reeves,BE,Sr,Wing G,77.2,9.6154
Jimmy Nichols Jr.,A10,Sr,Wing F,25.4,6.0625
Jayden Gardner,ACC,Sr,Wing F,88.1,18.2632
Xavier Pinson,SEC,Sr,Scoring PG,63.2,13.6154
Darius Days,SEC,Sr,Stretch 4,64.8,11.5714
Amanze Ngumezi,OVC,Sr,Stretch 4,38.1,8.72
Tye Fagan,SEC,Sr,Wing G,54.8,9.2308
Andrew Nembhard,WCC,Sr,Scoring PG,74.4,9.1562
Gabe Brown,B10,Sr,Wing F,46.0,7.16
Flo Thamba,B12,Sr,C,38.8,3.6333
Vince Williams Jr.,A10,Sr,Wing G,71.2,10.6154
P.J. Byrd,SWAC,Sr,Scoring PG,33.0,2.7931
Trevon Faulkner,Horz,Sr,Wing G,83.1,16.68
Serrel Smith,Amer,Sr,Wing G,59.1,7.0
Souleymane Koureissi,A10,Sr,Wing F,24.0,2.6087
Samba Diallo,MAAC,Sr,Wing F,59.6,6.6316
Ryan Young,B10,Jr,PF/C,47.2,7.75
Miller Kopp,B10,Sr,Wing G,78.7,11.25
Pete Nance,B10,Sr,Stretch 4,69.2,11.125
Myreon Jones,SEC,Sr,Combo G,75.0,15.28
Emmitt Matthews Jr.,P12,Sr,Wing G,63.9,7.7241
Francisco Caffaro,ACC,Jr,C,11.6,1.1765
Matthias Tass,WCC,Sr,Wing F,73.1,10.875
DeAndre Williams,Amer,Sr,Wing F,48.9,11.6667
Trey McGowens,B10,Sr,Combo G,71.3,10.7407
Kristian Sjolund,WCC,Jr,Stretch 4,34.2,5.087
Jericole Hellems,ACC,Sr,Wing F,78.5,12.92
Tyrese Martin,BE,Sr,Wing F,71.7,10.3182
Au'Diese Toney,SEC,Sr,Wing G,63.6,14.375
Uros Plavsic,SEC,Jr,C,6.7,1.125
Elijah Weaver,A10,Sr,Scoring PG,39.5,5.3889
LaQuill Hardnett,MAC,Jr,Wing F,51.8,6.52
Yor Anei,BE,Sr,C,27.9,6.6364
Joe Reece,MAC,Sr,Stretch 4,59.9,7.8182
Kalu Ezikpe,CUSA,Sr,PF/C,53.7,10.3478
John Walker III,SWAC,Sr,PF/C,60.3,12.125
Khalid Moore,ACC,Sr,Wing F,56.1,4.8
Jordan Brown,SB,Jr,C,48.5,9.3846
Riley Sorn,P12,Jr,C,22.5,3.0833
Lat Mayen,B10,Sr,Stretch 4,64.4,8.6296
Jaxson Baker,Slnd,Jr,Wing G,50.5,6.0
Riley Battin,P12,Sr,Wing F,54.3,6.64
Manny Bates,ACC,Jr,C,65.2,9.7917
Tevian Jones,BSky,Sr,Wing G,75.4,16.875
Lahat Thioune,P12,Jr,PF/C,11.0,1.35
Eric Ayala,B10,Sr,Wing G,81.2,15.1034
Rip Economou,WAC,Sr,Wing F,24.8,2.9524
Reggie Chaney,Amer,Sr,C,34.9,4.6875
Dylan Swingle,MAC,Jr,C,26.7,4.0
Keonte Kennedy,CUSA,Jr,Wing G,76.1,8.0435
Kevin Samuel,ASun,Sr,C,63.0,8.8462
Ron Harper Jr.,B10,Sr,Wing F,76.7,14.8519
Both Gach,P12,Sr,Wing G,56.1,6.7931
Tevin Brown,OVC,Sr,Combo G,91.0,14.7308
Cody Riley,P12,Sr,C,54.6,9.9677
Samba Kane,Horz,Sr,C,22.2,2.6522
Jordan Campbell,MWC,Jr,Wing G,33.6,4.4783
Gerald Liddell,SWAC,Sr,Stretch 4,7.3,2.1429
